column 1,column 2
3.191199935,6.907490083
2.904044064,5.447200697
2.750485957,5.131462451
2.642994982,4.815724205
2.559424708,4.657855083
2.490635464,4.578920521
2.431934602,4.578920521
2.380581224,4.105313153
2.334830426,3.750107626
2.293500402,3.671173065
2.255752375,3.592238504
2.220968801,3.473836662
2.188681386,3.434369381
2.158526286,3.315967539
2.130214989,3.276500258
2.103514727,3.197565697
2.078234886,3.197565697
2.054217333,3.197565697
2.031329383,2.881827451
2.009458575,2.80289289
1.988508728,2.80289289
1.96839692,2.723958328
1.949051148,2.723958328
1.930408455,2.684491048
1.912413487,2.684491048
1.895017292,2.605556486
1.878176368,2.566089205
1.861851868,2.526621925
1.846008963,2.526621925
1.830616292,2.487154644
1.815645521,2.447687363
1.801070954,2.408220083
1.786869221,2.408220083
1.773018995,2.368752802
1.759500765,2.368752802
1.746296627,2.329285521
1.733390118,2.329285521
1.720766057,2.25035096
1.708410419,2.25035096
1.696310217,2.210883679
1.684453402,2.210883679
1.672828772,2.171416398
1.661425897,2.171416398
1.650235046,2.092481837
1.639247127,2.053014556
1.628453631,2.013547276
1.617846581,1.974079995
1.607418493,1.934612714
1.597162331,1.934612714
1.587071472,1.934612714
1.577139678,1.895145433
1.567361061,1.895145433
1.557730061,1.855678153
1.54824142,1.855678153
1.538890161,1.855678153
1.529671568,1.816210872
1.520581168,1.737276311
1.511614712,1.737276311
1.502768165,1.737276311
1.494037688,1.69780903
1.485419625,1.69780903
1.476910495,1.658341749
1.468506978,1.658341749
1.460205903,1.618874469
1.452004246,1.579407188
1.443899115,1.579407188
1.435887743,1.579407188
1.427967483,1.579407188
1.420135801,1.539939907
1.412390268,1.500472626
1.404728553,1.461005346
1.397148423,1.461005346
1.389647731,1.461005346
1.382224417,1.421538065
1.374876499,1.421538065
1.367602072,1.421538065
1.360399303,1.382070784
1.353266429,1.342603504
1.346201749,1.342603504
1.339203626,1.303136223
1.332270481,1.303136223
1.325400791,1.303136223
1.318593087,1.303136223
1.311845951,1.263668942
1.305158012,1.263668942
1.298527947,1.263668942
1.291954475,1.263668942
1.285436361,1.263668942
1.278972407,1.224201662
1.272561454,1.224201662
1.266202381,1.1452671
1.259894103,1.1452671
1.253635567,1.105799819
1.247425753,1.105799819
1.241263673,1.105799819
1.235148368,1.066332539
1.229078909,1.066332539
1.223054392,1.026865258
1.217073941,1.026865258
1.211136707,1.026865258
1.205241861,1.026865258
1.199388602,0.9873979773
1.193576148,0.9873979773
1.187803742,0.9873979773
1.182070645,0.9873979773
1.17637614,0.9479306966
1.170719528,0.9479306966
1.16510013,0.9479306966
1.159517284,0.9479306966
1.153970347,0.9479306966
1.148458689,0.9479306966
1.142981701,0.9479306966
1.137538787,0.9479306966
1.132129365,0.9479306966
1.12675287,0.9479306966
1.121408751,0.9084634159
1.116096467,0.9084634159
1.110815495,0.9084634159
1.105565322,0.9084634159
1.100345448,0.9084634159
1.095155383,0.8689961352
1.089994652,0.8689961352
1.084862789,0.8689961352
1.079759339,0.8689961352
1.074683858,0.8295288545
1.069635911,0.8295288545
1.064615075,0.7900615738
1.059620933,0.7900615738
1.054653081,0.7900615738
1.049711122,0.7900615738
1.044794668,0.7900615738
1.039903339,0.7505942931
1.035036764,0.7505942931
1.03019458,0.7505942931
1.025376431,0.7505942931
1.020581969,0.7505942931
1.015810853,0.7505942931
1.011062749,0.7505942931
1.00633733,0.7111270124
1.001634276,0.7111270124
0.9969532731,0.7111270124
0.9922940139,0.7111270124
0.9876561971,0.7111270124
0.9830395275,0.7111270124
0.9784437154,0.7111270124
0.9738684772,0.6716597317
0.9693135345,0.6716597317
0.9647786144,0.6716597317
0.9602634491,0.6716597317
0.9557677761,0.6716597317
0.9512913376,0.6716597317
0.9468338809,0.6716597317
0.9423951578,0.6716597317
0.9379749247,0.6716597317
0.9335729427,0.6716597317
0.9291889771,0.6716597317
0.9248227973,0.632192451
0.9204741771,0.632192451
0.9161428943,0.632192451
0.9118287305,0.632192451
0.9075314712,0.5927251703
0.9032509058,0.5927251703
0.8989868272,0.5927251703
0.8947390321,0.5927251703
0.8905073203,0.5927251703
0.8862914955,0.5927251703
0.8820913642,0.5532578896
0.8779067368,0.5532578896
0.8737374262,0.5532578896
0.8695832489,0.5532578896
0.8654440243,0.5137906089
0.8613195746,0.5137906089
0.8572097251,0.5137906089
0.8531143038,0.5137906089
0.8490331417,0.5137906089
0.8449660722,0.5137906089
0.8409129315,0.5137906089
0.8368735584,0.5137906089
0.8328477943,0.4743233282
0.828835483,0.4743233282
0.8248364706,0.4743233282
0.8208506057,0.4743233282
0.8168777394,0.4743233282
0.8129177247,0.4743233282
0.8089704172,0.4348560475
0.8050356743,0.4348560475
0.8011133559,0.4348560475
0.7972033237,0.4348560475
0.7933054416,0.4348560475
0.7894195755,0.4348560475
0.7855455932,0.4348560475
0.7816833645,0.4348560475
0.7778327609,0.3953887668
0.773993656,0.3953887668
0.770165925,0.3953887668
0.7663494451,0.3953887668
0.7625440949,0.3953887668
