Name,Entity Id,Rank type,Rank value,Time span
WACV,1149655676,Prestige,31,One Year
IUI,1170221290,Prestige,32,One Year
DAS,1154283601,Prestige,33,One Year
SIGMOD,1175089206,Prestige,34,One Year
ASE,1166511975,Prestige,35,One Year
MM,1135237122,Prestige,36,One Year
ICIP,1163163559,Prestige,37,One Year
Hypertext,2532863000,Prestige,38,One Year
EACL,1188587990,Prestige,39,One Year
BigMM,2754030025,Prestige,40,One Year
CIKM,1194094125,Prestige,41,One Year
K-CAP,1166500626,Prestige,42,One Year
MMM,1123621769,Prestige,43,One Year
ESWC,1180003657,Prestige,44,One Year
JCDL,1169258207,Prestige,45,One Year
HICSS,1164519180,Prestige,46,One Year
ICSE,1174403976,Prestige,47,One Year
ICTIR,2756630716,Prestige,48,One Year
CHIIR,2626279626,Prestige,49,One Year
RecSys,1134284382,Prestige,50,One Year
SAC,2753968298,Prestige,51,One Year
DSS,1182309694,Prestige,52,One Year
EDBT,1132593990,Prestige,53,One Year
SMC,1170695740,Prestige,54,One Year
ADCS,1147924868,Prestige,55,One Year
SISAP,1187155619,Prestige,56,One Year
SAC,2754781246,Prestige,57,One Year
ISM,1188521074,Prestige,58,One Year
ECIR,1180513217,Prestige,59,One Year
SANER,2754456056,Prestige,60,One Year
I-SEMANTICS,2625637742,Prestige,61,One Year
UMAP,2754031194,Prestige,62,One Year
ISWC,1155608529,Prestige,63,One Year
PAKDD,1178327129,Prestige,64,One Year
EDBT-ICDT,2754836383,Prestige,65,One Year
ICWE,1186729694,Prestige,66,One Year
DCMA,2755825106,Prestige,67,One Year
ICDM,1183478919,Prestige,68,One Year
DASFAA,1184699546,Prestige,69,One Year
INFOCOM,1143723981,Prestige,70,One Year
BIBM,1156210184,Prestige,71,One Year
WebSci,2626098776,Prestige,72,One Year
ICDSM,2898495809,Prestige,73,One Year
BigComp,2756267278,Prestige,74,One Year
AJIM,2754050703,Prestige,75,One Year
LREC,1164963593,Prestige,76,One Year
ICMR,1159717609,Prestige,77,One Year
TREC,2534788800,Prestige,78,One Year
DEXA,1192664773,Prestige,79,One Year
TPDL,2898296047,Prestige,80,One Year
ISTC,2755702938,Prestige,81,One Year
WI,1200067787,Prestige,82,One Year
BIOINFORMATICS,1199066382,Prestige,83,One Year
SOCO,1123077274,Prestige,84,One Year
ICADL,1204638610,Prestige,85,One Year
Big Data,2623113034,Prestige,86,One Year
IOT,1168863100,Prestige,87,One Year
ICDKE,1168542559,Prestige,88,One Year
DocEng,1187420394,Prestige,89,One Year
Resource Track - ICSC,2898613818,Prestige,90,One Year
GIR,1204605585,Prestige,91,One Year
IRCDL,1168262657,Prestige,92,One Year
AIRS,1182750626,Prestige,93,One Year
GIScience,1160834642,Prestige,94,One Year
MTSR,1121935577,Prestige,95,One Year
WIMS,2626590601,Prestige,96,One Year
ICDIM,1131237840,Prestige,97,One Year
CLOUD,1137657189,Prestige,98,One Year
ICEIS,1151763769,Prestige,99,One Year
ICAI,2755283090,Prestige,100,One Year
SIGIR,1140684652,Citations*,1,One Year
ACL,1188739475,Citations*,2,One Year
ASIST,2537396833,Citations*,3,One Year
CIKM,1194094125,Citations*,4,One Year
WSDM,1120384002,Citations*,5,One Year
ICASSP,1121227772,Citations*,6,One Year
NeurIPS,1127325140,Citations*,7,One Year
ECIR,1180513217,Citations*,8,One Year
WWW,1135342153,Citations*,9,One Year
CHIIR,2626279626,Citations*,10,One Year
ESWC,1180003657,Citations*,11,One Year
IJCAI,1203999783,Citations*,12,One Year
AAAI,1184914352,Citations*,13,One Year
CLEF,1156586875,Citations*,14,One Year
JCDL,1169258207,Citations*,15,One Year
RecSys,1134284382,Citations*,16,One Year
EMNLP,1192655580,Citations*,17,One Year
CVPR,1158167855,Citations*,18,One Year
VLDB,1133523790,Citations*,19,One Year
MMSys,2250491939,Citations*,20,One Year
MM,1135237122,Citations*,21,One Year
CloudCom,1159170270,Citations*,22,One Year
SOCO,1123077274,Citations*,23,One Year
MMM,1123621769,Citations*,24,One Year
ICTIR,2756630716,Citations*,25,One Year
ICDAR,1150099070,Citations*,26,One Year
ICSE,1174403976,Citations*,27,One Year
ICDKE,1168542559,Citations*,28,One Year
ISWC,1155608529,Citations*,29,One Year
IUI,1170221290,Citations*,30,One Year
